Field,Example,Description
Actor,null,Information about the identity performing the action identified in Event.EventType
actor.alternateId,example@domain.com,An alternative way to identify the actor. For users this is the username value.
actor.DetailEntry,"""detailEntry"": {
      ""osVersion"": ""15.2.0"",
      ""osPlatform"": ""MACOS"",
      ""deviceStatus"": ""ACTIVE""
    }",Optional additional context about the actor.
actor.DisplayName,Jane Doe,Display name of the identity performing the activity. If the identity is a user this will typically be their full name. 
actor.ID,00uxxxxxxxxxxxxxxxxx,Unique ID of the identity performing the action. If the entity is a user this will start with 00u.
actor.type,User,"The type of actor associated with the identity, such as a user or application."
,,
Client,null,Information about the client performing the action identified in the Event.EventType.
client.device,"Computer, Mobile",Type of device performing the action.
client.GeographicalContext,null,Geolocation of the client IP.
client.GeographicalContext.City,Los Angeles,City the client IP is registered to.
client.GeographicalContext.Country/region,United States,Country or region the client IP is registered to.
client.GeographicalContext.Geolocation.Lat,-75.068819,Latitude the client IP is registered to.
client.GeographicalContext.Geolocation.Lon,124.464726,Longitude the client IP is registered to.
client.GeographicalContext.PostalCode,12345,Postal or Zip code the client IP is registered to.
client.GeographicalContext.State,Virginia,State or Province the client IP is registered to.
client.ID,okta.1234abc-123a-123a-123a-1234568abc,"For OAuth requests, this is the ID of the OAuth client making the request. For SSWS token requests, this is the ID of the agent making the request."
client.IPAdress,,IP address of the client.
client.UserAgent.Browser,Chrome,Client Browser of the client derived from the User Agent.
client.UserAgent.OS,Mac OS X,OS of the client derived from the User Agent.
client.UserAgent.RawUserAgent,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Raw User Agent String of the client.
client.Zone,Corporate IP Range,Name of any applicable configured network zones evaluated during policy decisions.
,,
Device,null,Device telemetry if applicable.
Device.Device Integrator,"{""CROWDSTRIKE"":{""....""}}",Metadata from the device if device integration is setup.
Device.Disk Encryption Type,ALL_INTERNAL_VOLUMES,Type of disk encryption setup on the authenticating device.
Device.ID,guo....,Unique Okta generated ID of the authenticating Device.
Device.Managed,TRUE,Boolean value if the device is managed in Okta.
Device.OS Platform,OSX,Operating system platform.
Device.OS Version,15.2.0,Operating system version.
Device.Registered,TRUE,Boolean value if the device is registered in Okta.
Device.Screen Lock Type,BIOMETRIC,What type of lock is configured on the device locally.
Device.Secure Hardware Present,TRUE,Boolean value if the device has secure hardware implemented.
,,
Event.AuthenticationContext,null,Metadata pertaining to the authentication.
Event.AuthenticationContext.AuthenticationProvider,"FACTOR_PROVIDER, ACTIVE_DIRECTORY, SOCIAL, LDAP, FEDERATION",Provider verifying user credentials.
Event.AuthenticationContext.AuthenticationStep,0,The zero-based step number in the authentication pipeline. Currently unused and always set to 0.
Event.AuthenticationContext.CredentialProvider,"""DUO"" ""GOOGLE""  ""OKTA_CREDENTIAL_PROVIDER"" ""RSA"" ""SYMANTEC"" ""YUBIKEY""","A credential provider is a software service that manages identities and their associated credentials. When authentication occurs through credentials provided by a credential provider, the credential provider is recorded here."
Event.AuthenticationContext.ExternalSessionId,idxA1A_111AAA2-22BBB333CCC,"Okta created session ID. All authenticated activities should have an externalSessionId except those that originate from an Okta first party service such as Access Requests, Okta Privileged Access and Workflows. "
Event.AuthenticationContext.RootSessionId,idxA111AA-AAA222_BBB333CCC,"Identifies events from all sessions that share a common root session. Some actions that can be attributed to a user, such as those taken by an Okta system actor on behalf of a user, may have a different externalSessionId value. The rootSessionId field allows all of those to be identified and grouped together."
Event.AuthenticationContext.AuthenticatorContext,,Context about the authenticator used.
Event.AuthenticationContext.AuthenticatorContext.ApplicationVersion,131.0.5534.205,Version of the application facilitating the authentication.
Event.AuthenticationContext.AuthenticatorContext.BinaryIdentifier,com.google.Chrome.helper,Process identifier of the application facilitating the authentication.
Event.AuthenticationContext.AuthenticatorContext.BinaryPath,/Applications/Google Chrome.app/Google Chrome Helper,File path of the application facilitating the authentication.
Event.AuthenticationContext.AuthenticatorContext.BindingMethod,LOOPBACK,Binding method used during the authentication; see fastpass whitepaper for details.
Event.AuthenticationContext.AuthenticatorContext.RequestOrigin,https://{company}.okta.com,Origin header value of the authentication.
Event.AuthenticationContext.AuthenticatorContext.SignerDistinguishedName,Developer ID Application: Google LLC,Signer of the application facilitating the authentication.
Event.AuthenticationContext.AuthenticatorContext.SignerKeyIdentifier,,Hash of the signer's key.
Event.AuthenticationContext.AuthenticatorContext.UserConsent,APPROVED_USER_VERIFICATION,Outcome of user verification.
Event.AuthenticationContext.AuthenticatorContext.ValidationStatus,SUCCESS,Outcome of the authenticator validation.
,,
Event.DisplayMessage,,This is a user friendly display message which conveys the action that the event indicates.
Event.EventType,user.session.access_admin_app,Event identifier of the action being performed see (https://developer.okta.com/docs/reference/api/event-types/).
Event.Outcome,,Metadata pertaining to the outcome of the event.
